"","GeneralType","Type","PRKCZ","EPHA2","PINK1","ID3","SFN","SESN2","SLC2A1","PTPRF","CDKN2C","JUN","GADD45A","GNG12","SHC1","LAMC1","PIK3C2B","LAMB3","TRAF5","DUSP10","CAPN2","ID2","TRIB2","TP53I3","LTBP1","EPAS1","EPCAM","HK2","CAPG","DUSP2","SPC25","ITGA6","FZD7","IDH1","FN1","IGFBP2","ARL4C","PPARG","TGFBR2","KIF15","CDC25A","LAMB2","FLNB","MITF","PHLDB2","MYLK","TIPARP","MECOM","TNIK","PLD1","TNFSF10","CLDN1","BCL6","SGCB","IL8","PTPN13","PITX2","CAMK2D","VEGFC","PARP8","ITGA2","IL6ST","MAP3K1","PLK2","SSBP2","EGR1","DUSP1","FOXC1","NEDD9","DDR1","HSPA1A","HSPA1B","BAG2","CD109","AIM1","SESN1","FYN","SGK1","MAP3K5","TNFAIP3","PERP","FAM20C","PDGFA","MAD1L1","TWIST1","GLI3","STK17A","IGFBP3","GRB10","CDK6","LAMB1","MET","HIPK2","PARP12","TNFRSF10A","DUSP4","FGFR1","SNAI2","LYN","E2F5","CCNE2","FZD6","EXT1","SNTB1","CDKN2A","TLE1","NEK6","DIP2C","CAMK1D","ITGB1","DKK1","AIFM2","PCBD1","DDIT4","FAS","DUSP5","MGMT","CD82","DDB2","DTX4","CCND1","ENDOD1","BIRC3","CASP4","ETS1","PTPN6","EPS8","MGST1","PRICKLE1","DDIT3","DUSP6","SOCS2","ELK3","FARP1","ZIC2","EFNB2","IRS2","COL4A1","COL4A2","PCK2","PRKD1","CFL2","NFKBIA","PYGL","BMP4","DAAM1","SIX4","HSPA2","FOS","VRK1","EVL","THBS1","IDH2","BLM","MVP","MLKL","PLCG2","JUP","FZD2","MAP2K6","RAC3","NDC80","LAMA3","TCF4","ATP8B1","PMAIP1","GADD45B","ICAM1","ICAM3","CDKN2D","DLL3","AXL","RELB","RRAS","TRIB3","PLCB4","PYGB","ID1","CD40","SIK1","PDK3","MSN","PHKA1","FLNA"
"COLO-680N","aero_dig_tract","oesophagus",5.83361386,6.476251973,7.55336952,9.927056915,10.10820416,6.392465707,9.659625883,8.40978117,4.815026138,7.157001012,9.910166779,7.780279008,7.539891295,8.422703598,6.900212827,7.501388788,5.705640757,7.302662203,10.00697864,5.96115885,4.581041462,7.558849582,3.522121483,6.719308444,9.988946226,6.461408328,7.882612984,3.463294337,7.585766262,8.335115116,5.029704182,9.428083887,8.309004338,4.770222615,6.440559494,7.958793645,3.271564762,5.39429829,4.553083499,5.925347174,7.821362296,6.599464441,7.979654138,7.432682022,7.129260211,4.210450127,4.380915572,6.813474153,8.904351691,8.558413623,5.22670728,4.701730805,7.360513551,5.365347459,6.136270663,5.005017812,6.360868897,3.083993453,9.107817609,6.375896562,8.414030091,8.122076772,5.131870187,8.992347644,5.824538872,6.692149162,5.56263407,7.667469426,6.790015935,9.830515608,7.773169672,6.639496511,5.230312957,5.08815645,5.634848503,8.228098095,5.95545317,6.404550569,10.27158564,7.602198087,7.128967034,5.564799229,6.051876941,4.788076989,6.967168126,7.472963337,6.315831497,6.728485015,6.298767708,4.561456837,4.428831796,6.517280487,5.190970775,7.808549263,3.587088845,9.371111368,7.845191437,8.338833241,5.275359867,7.510252905,8.105727644,3.090176791,3.425688523,6.490874334,6.799197364,5.619338622,3.770806261,8.273018556,9.99039744,4.928035736,7.954606436,10.23522051,4.042635668,8.214353079,6.9626888,7.379282427,7.605900863,7.792066298,8.873375111,8.00447259,7.34626102,7.460293734,4.836293894,6.209533649,6.219503139,11.06887814,4.687678098,5.24579471,7.228519448,3.71839618,6.09047667,5.188897746,4.818082085,5.454383184,6.065825123,6.002418763,6.963527326,5.200069327,3.2225017,7.747124923,10.12285586,10.75209804,4.79523024,9.491190845,7.886834991,8.876496314,9.034679846,8.377922752,4.455253545,6.689654152,7.482448345,7.343500152,6.366649279,7.072336102,4.578605117,10.32428452,8.111036556,7.056669542,7.313698844,8.242534248,8.208173419,3.267849713,5.266864785,8.160968027,6.936409102,6.405990486,5.657734741,5.731629434,6.216082995,6.96569637,4.724022047,7.939090637,6.522507333,3.242626007,4.978941358,12.17937456,6.302567815,6.513760045,5.924047774,8.441369511,4.960421801,6.961228129
"EC-GI-10","aero_dig_tract","oesophagus",5.258192219,6.343247729,5.864611328,9.192497732,10.91547446,7.245381334,8.070416299,7.348344496,3.136511978,7.261468581,10.59777714,7.239516773,7.106426459,7.97120408,4.75586591,9.406011104,5.026253769,5.258586356,9.177763235,3.866747926,5.278713917,6.912908491,5.092945497,6.064473685,10.00022613,6.871780651,5.304755863,3.619039476,5.766159856,9.398940279,4.477014026,9.324060943,3.205848066,3.747258408,5.872624465,7.308451039,6.136103018,3.898115507,4.326681869,4.91971929,8.356958247,5.069992546,6.529712243,3.487658567,8.611578364,5.317354683,3.626096232,5.358640347,7.849119117,8.059611509,5.265956041,5.22098762,10.31864861,5.268671643,7.21062579,5.040579919,8.316739269,7.177762189,10.15285001,6.750745788,7.222972917,6.363042639,4.548764379,6.577161005,5.965558217,6.355262931,4.224514681,7.538103588,11.64887604,10.47977072,9.339114039,4.726240212,6.377641549,5.256576263,5.683845477,6.397887187,4.826539468,7.758586549,9.33223641,6.989396178,7.003699878,4.924315554,3.851024283,4.638016093,7.870040188,10.514255,8.080155123,8.815317147,4.112401833,6.412446464,4.744898471,6.916275085,6.397656808,8.119973934,3.602890197,9.478118225,9.16906142,9.639220334,4.009848903,7.998657226,7.947731964,3.680373474,5.198188899,8.263481725,5.338732459,5.646965155,5.321151174,7.711124505,8.190279664,7.530948628,7.203937015,10.93270179,5.619682035,8.120817217,3.504911841,7.040746646,6.532990697,4.027541271,8.26790758,4.324521632,4.929234077,8.110401554,4.755300724,6.212030812,6.215162776,11.82680148,6.97238635,6.886189868,7.755796129,5.082190634,6.658658465,4.505534299,6.245594512,7.785234766,6.994436631,6.114496089,6.727281289,9.027698112,4.946674068,8.60519519,9.936151525,10.17984917,3.367153682,7.953441138,8.701294357,7.002216795,5.00514182,7.472660455,4.202257098,6.170508788,4.374025308,6.692367391,6.611198371,8.362655135,4.888031297,9.080428723,6.28697496,3.968873389,6.528740455,7.381730111,7.46907131,3.772562869,4.347949786,7.392368151,5.56091208,3.26774212,6.372012464,5.443658782,5.086071841,4.773931349,6.17217225,8.300363547,8.864090353,3.605873976,5.339595363,11.99762434,3.620050449,7.210606445,4.10338559,8.07985541,5.220592093,6.780955026
"ESO26","aero_dig_tract","oesophagus",8.505062239,8.157897098,7.612363892,4.981465485,10.85716937,8.370410029,11.10744404,8.558281519,3.75638353,8.52809284,10.41878549,8.082727068,7.421071306,7.371727692,7.829728484,8.74897864,7.471414677,3.529290146,9.146135299,3.065503282,3.664304353,4.506121662,3.740567185,5.359559961,11.73005009,9.418017869,4.970890293,4.635604031,6.983757764,8.22075167,5.741199641,10.33279059,3.01405708,7.118202928,6.516744205,7.366894598,5.262119043,5.540484852,5.033772544,5.133881578,7.881584703,3.735279393,4.714537069,3.900678547,7.630211118,5.242563618,5.300922322,4.777227496,7.055332116,5.931172776,3.990395965,5.083010052,4.70039258,3.841424813,4.325964746,5.368391896,3.703388913,7.755681359,8.032040793,4.171912234,8.014006711,4.112434324,3.573470645,6.518775028,4.554811498,6.428337103,4.930814131,8.481443387,11.13204153,11.22639533,5.627365488,3.114395283,4.819977995,5.806159617,3.933847247,5.440780303,6.933838284,6.080066177,10.3943558,3.271347836,5.719188315,5.913113265,3.625795191,3.108808651,5.353565227,8.86380323,7.656372479,6.676621748,5.493551395,4.848544795,5.616605858,8.481885932,6.623235867,6.669605482,3.689978596,3.154299995,7.208663463,9.40847781,5.875801238,6.366641746,8.544361118,6.177041998,6.553351596,7.631389789,6.335293855,6.118205283,4.852787692,8.538374402,3.118714209,6.505188417,9.184344614,11.686945,5.169031949,3.572508068,5.272321999,8.55900583,7.173452099,9.010203073,6.166172615,6.41807589,7.147726852,9.223684446,3.941580979,5.851212669,8.745764193,11.08986435,4.4768472,6.265339127,6.439105567,3.79166599,4.531830011,5.768144267,6.918326313,4.348765492,4.400550351,3.307121889,6.410832446,6.042884774,3.277033702,3.8561385,8.390709772,8.804346254,6.153578233,6.935568115,7.691749701,3.986357572,7.318983044,7.818749887,3.731444144,4.069681538,10.00150013,7.999044812,8.310540877,5.61351832,4.489919428,12.34683595,4.174112454,6.91591732,6.477177751,8.287040209,3.086682576,3.41635892,6.862680476,7.695646609,6.805368673,4.527755036,5.616126918,7.797650085,3.562193289,4.158821264,6.373265583,7.546949191,8.454721863,3.202856335,5.137798934,7.38735693,3.464379675,7.324875408,6.263569603,3.939883999,4.42719687,4.783338213
"ESO51","aero_dig_tract","oesophagus",7.163002876,7.029337122,7.893075376,8.891092126,9.35483478,8.052162649,7.506685748,8.049443105,7.373267928,8.523458423,11.07551352,9.098834074,7.927481656,6.99337937,7.046703803,7.787680565,5.09495834,4.332004042,8.933558058,6.12557034,6.305396066,5.796355852,6.037023386,6.181333023,8.967115552,8.982777431,9.999645573,3.775431853,5.732717424,8.680594688,4.80605229,7.206654155,3.207234034,3.692459032,6.651277126,9.668256029,6.442303477,4.918656224,3.944418473,6.586713667,8.984593129,3.257957611,5.930727695,3.700702688,8.001543652,6.606399018,6.125207385,5.480099389,6.486260089,3.313461517,9.301031652,4.73359735,4.47908319,3.539526519,8.325948134,7.520214846,3.517407279,3.705650637,7.596820811,5.42191576,6.694124019,4.678157921,3.720087954,6.362010823,8.862773435,7.39232539,3.300463856,6.017762861,4.658942396,11.35453505,7.165767587,5.151381136,5.728785852,4.620805167,2.820357486,5.84300618,8.497783252,7.644459429,9.643719774,6.390590378,6.293155257,6.270068524,2.890886446,3.159619509,8.517754563,10.33938345,9.053780829,5.071635466,5.800597981,9.430697279,5.242441944,7.609499268,7.064373625,11.11287055,3.470086987,3.472426095,5.161834748,5.014888611,5.316063495,5.66325515,7.203675177,5.943072881,9.553099815,8.727366071,5.635317837,6.916149982,6.695861564,8.443602686,11.04185955,5.353260233,8.987240052,11.17703867,6.197424321,4.294861228,6.758085977,7.252415613,5.426388969,4.525729907,7.415260961,5.115418338,3.825517836,7.058872678,3.79471025,5.017746752,9.467883854,11.46878078,3.590129363,7.57170828,8.223005567,4.184048044,5.201835099,3.750490503,7.109289361,5.274102138,4.025537111,3.481560044,3.847730636,5.652328893,3.37673956,7.070912283,9.462400594,9.724287086,10.79589791,7.192919536,8.321943327,5.798533078,6.19977687,6.520225286,3.517187411,4.167447006,6.619748803,6.069400085,8.551878032,7.527129888,6.730835369,9.692702851,4.515817888,4.879713717,7.082327002,7.046171948,6.280452182,3.692035996,5.667014918,9.126828066,8.742233614,6.096687234,6.755813308,7.782347888,4.93670049,6.920806011,7.133652163,9.86032335,6.703985329,3.166862138,9.754704313,10.1891469,3.756923201,7.861942215,6.470357516,9.288156038,5.421529706,7.22398044
"FLO-1","aero_dig_tract","oesophagus",5.214737797,7.207795902,6.389844449,9.138820493,3.895332686,7.643790661,6.009891105,8.83698923,7.443260448,7.090266829,11.24850447,9.504479622,8.875050431,8.100930277,4.285721972,4.623317342,6.323559102,6.079422184,8.495451684,6.944446601,3.959698021,6.888766868,4.528735182,4.555164123,3.112482358,6.12302128,3.507110309,3.439976645,8.469502043,7.265588827,3.811971223,7.672012261,3.277320215,8.917831345,6.135577688,3.536938404,3.925954982,7.248678847,4.855824837,7.009099352,7.590082225,5.13645567,6.956755598,6.510410788,5.661715841,3.17750225,3.265349257,4.367429764,3.071795581,7.694131859,4.821035714,4.961144956,3.697342494,3.815793103,4.682655182,3.976890572,3.422176916,5.666475568,6.261855005,7.312627925,7.121772885,6.889462215,3.879952255,4.252007229,4.811589834,6.021465185,3.060718618,5.66882798,11.63875434,10.12984144,7.925719122,3.636396942,3.295345518,4.454315894,4.908097837,8.843904109,5.114515587,6.818960933,7.703961417,6.834754946,5.660889053,5.951021812,3.628779047,3.088741849,5.745597609,3.062686935,7.534258528,8.242767001,3.866139971,3.610460126,4.002840062,7.828444683,6.1817551,3.8475279,3.48956167,3.534208933,6.824628886,7.300541444,5.748344628,3.974607833,8.345474556,3.546225477,7.836765663,8.3976783,6.404516326,6.019091756,5.424090099,9.491501267,9.675579745,5.501983403,8.390106885,9.924738406,5.558707327,7.005792455,3.329350438,8.230931584,7.038766737,6.762286105,8.08973176,5.729275048,8.138034274,3.456605838,7.304681507,3.84175288,4.668547427,4.108985003,4.307454502,5.779379035,5.155119684,4.192782102,7.807515246,5.783689777,7.351148543,3.581544032,3.520671367,3.562916289,3.256338346,6.983245779,2.875455224,7.694505423,9.745029184,9.228570003,3.322895273,6.512443409,7.122124686,7.839445935,3.768380971,8.759781347,4.527115343,6.600704176,6.943584063,8.442104023,6.756170714,6.052046699,5.995933431,5.709629813,6.555193655,3.795850274,5.074101498,8.79849957,3.066380118,3.579748387,5.774541117,7.39348411,8.43010461,7.881707123,6.819583891,5.880068335,3.466042321,7.37654114,6.878342964,8.612025379,5.874580724,7.053071575,5.503439316,10.52108097,7.307345895,7.844028363,6.256654026,3.512310515,4.949029618,5.942336496
"HCE-4","aero_dig_tract","oesophagus",6.891880516,6.590680203,6.995392819,8.363950653,8.38483213,6.314983468,7.574806133,7.216519258,6.561326686,7.269688898,8.938919475,8.1060182,8.096115097,8.555985014,5.083202061,5.817487139,6.330974914,4.31951551,8.564298114,4.544613345,4.892626165,7.733694591,4.232269676,4.402041881,6.234553561,4.224555702,7.498365824,5.140075501,6.268067385,5.66621717,4.911106561,7.700760872,8.080338502,4.898170934,7.96489574,6.540365973,5.149495434,5.648556408,5.451663843,6.865066862,6.822153635,5.016226123,6.616178301,6.825375589,7.14876069,5.251939329,5.531165326,5.717610674,6.459068643,6.531235687,5.826428588,5.766990196,4.457134601,5.232231963,7.812243027,5.217397145,8.794848366,6.183510856,5.285217205,5.115280712,7.256759509,8.99597845,6.124584404,6.735724637,4.686595558,5.465730662,3.699974305,6.291608625,11.46838373,10.19481777,9.238306338,5.262034788,4.012322501,4.96540119,6.088690219,6.512160608,4.328695345,5.797888091,7.04962847,6.532252746,5.175631679,6.743641116,9.474697299,7.946047317,6.540774129,5.67887468,7.271107578,7.613512717,5.580870613,4.540014368,5.616362225,8.136209564,5.824439274,9.277461341,4.814573097,7.14098803,6.615546243,9.121119121,5.606190914,7.50507167,8.39111347,4.118916508,8.003919619,9.550769651,6.62474311,7.417077267,4.910049871,7.946488148,9.463400988,5.747396859,8.023883379,7.774488408,5.020931788,6.100330801,6.485457001,4.847164282,5.730552813,7.228244261,8.403779607,6.535049398,8.913516232,9.295785122,4.640559689,5.180314703,6.019316533,11.25666433,8.024633659,5.654373607,6.985907474,3.361736168,6.880199053,5.855695251,6.102718232,4.795863334,5.588097919,5.89312942,7.016435524,5.511488046,6.147811683,7.762129272,8.529367166,9.132315527,10.89098036,6.547294723,7.420267498,7.551244412,5.972490797,7.660024215,4.485037296,6.781839033,5.064526035,7.505065355,7.2186065,6.767373108,5.749077831,8.161723999,8.949721592,5.288757816,7.420332053,8.931034013,4.342024532,5.077816902,3.432707567,8.223519877,6.250622673,7.667134229,6.051240499,5.720029518,4.474858065,8.316111066,6.094726648,8.037833603,5.850953647,4.465783109,4.838688174,9.631387276,6.45357204,6.808891143,3.431250863,8.004005665,4.366103964,6.835540894
"KYAE-1","aero_dig_tract","oesophagus",8.530123582,6.407307468,6.326928722,9.446492453,7.221146431,6.533897718,5.930155684,8.899168616,4.286239034,5.981334098,7.995597785,8.635475619,6.564915654,6.557197003,8.022876092,6.896957413,6.704072053,4.151659573,7.295722141,8.121616577,4.955592286,5.401487959,3.614130578,5.056409152,11.03124224,7.705931814,8.638169003,5.094523301,7.160923348,8.421138749,6.420803141,8.699018392,3.050553274,3.806168068,4.886266021,9.251212784,6.733066894,5.874593662,4.507688083,7.415494506,8.620652689,4.150248722,3.823331249,5.559569995,6.555251184,6.09556886,5.580718641,6.291333,6.272948129,3.41129596,4.627010675,4.222564519,6.725067298,5.012206207,6.755432016,6.377302536,3.254459687,5.597724037,8.842659204,4.803187644,8.148387345,4.821901743,3.536349158,8.819074715,4.539682701,7.186913467,3.37613391,7.139450139,11.932966,10.62795535,7.581306381,3.438288749,5.474426267,5.455431173,3.503313294,6.824016189,8.519418983,6.940472321,9.741003106,3.564783409,3.956353737,4.905308798,3.300554216,3.310824418,6.214248887,4.73001441,7.10603414,6.988455955,5.044001606,5.918382652,3.903359172,9.134489314,7.2170951,8.337582687,3.431446192,3.562772433,7.098754034,4.815046388,4.690408655,6.324749804,6.320201859,6.203718918,6.364055105,5.751443714,5.49944683,5.599117312,3.56342868,8.271394997,9.047684448,5.003240008,9.580707209,7.88109414,3.1080623,6.78797316,6.466285667,6.299248539,7.541873276,9.459683918,7.053714725,7.806665253,7.915618675,8.294219427,3.167757723,5.985588794,8.291857622,9.370001195,3.397201304,6.073938037,8.740227155,3.048337947,3.599023703,4.462494406,4.247133129,6.556899179,3.801278469,3.29598929,5.848206566,6.833624206,2.811301903,4.865426234,9.568182748,7.912206309,9.547854141,6.682445157,6.114940922,3.214361611,9.198185031,8.611574774,3.642793202,3.107164343,8.166598188,9.065368681,8.006915956,6.417374887,5.040754648,11.93105432,3.248399949,3.959119028,5.999302383,7.724686727,6.892625076,3.111833087,7.892103372,7.450773076,6.695514357,6.872357783,5.992131584,6.502374318,3.517687297,3.520478379,5.544686704,7.478946178,7.214054535,3.165520011,8.31132708,12.30839406,4.035906111,6.53146811,6.350884714,3.330329455,5.498822364,5.078953694
"KYSE-140","aero_dig_tract","oesophagus",6.770906248,4.991408941,6.266510555,8.59474503,9.976621674,6.529168775,7.652867088,8.537998279,6.12985207,6.807806907,8.992412112,7.466803216,5.67908696,8.438118942,5.420561835,8.497988188,5.781201262,4.153579774,7.976522334,3.372350006,6.924768729,3.626982644,6.727685179,4.293288996,9.476076811,6.523636436,7.579170641,4.218958271,6.820997902,8.132449941,6.607887867,8.618753531,3.091248837,10.97691193,8.481844102,5.798156937,5.529534322,5.525714307,4.445657291,5.826831195,6.500238728,6.736628984,7.675491884,6.641543106,6.606134222,5.513748754,4.845024512,7.468735801,8.489645974,4.149879405,5.229522412,5.256692578,4.769170027,5.331559411,8.368151453,4.800433296,2.985642905,5.095607811,10.60641278,3.844610915,6.453588715,5.189442484,7.761333992,10.40540755,3.477290161,5.166789234,7.281322827,7.832576824,9.679736729,9.629288016,5.581956377,6.777912803,5.596250639,5.747103006,7.278671299,8.889596886,8.125674923,4.768903229,10.59652198,7.753450149,8.868831812,5.79048344,5.772103945,7.835594039,7.502202548,3.22991561,3.16151362,9.004665887,4.693992784,5.049895416,5.573810678,7.261825325,5.430887839,4.348234744,5.014116307,10.10042732,2.875809524,7.048536712,5.991882818,8.324178391,7.418044358,5.769530551,3.681751798,7.269081724,5.408538529,5.695010054,6.445630392,7.911046331,9.856513957,4.276026623,8.534002758,10.6123572,3.049938885,3.650338552,6.129803806,6.596763374,8.323195092,4.254758131,7.754576365,7.608109108,2.947584924,5.724540153,2.862067082,4.493630192,7.231472245,3.621299912,7.48004257,5.251914127,8.525148723,7.770709015,6.279366521,7.3942776,7.265647726,8.590063646,7.040415588,9.805628545,10.1023278,7.238782239,3.784254901,7.802834754,9.631977315,10.36411254,3.191963488,8.194653593,8.665958915,9.603895763,7.607998524,8.969607953,6.070434738,6.569650626,7.482178475,8.306275802,4.944110632,5.947619875,7.123178825,9.8739292,7.154811969,6.583504582,7.979587579,7.899327869,7.669736992,7.84728185,6.825484079,5.710869701,5.451816527,2.98921075,4.443236001,7.532811127,5.403997007,4.432076122,4.309127784,6.915331535,5.370384107,4.783687743,4.381393839,9.362879047,3.737489132,6.755101825,5.595347449,8.83967831,4.149046327,6.963381772
"KYSE-150","aero_dig_tract","oesophagus",6.306604092,5.019267301,6.596241966,9.101285304,9.445338908,8.046256247,8.054282757,8.272025066,5.613295269,8.435493232,9.929006279,8.048231633,6.867793227,7.970671411,4.486321672,7.229897623,4.241373951,5.703818522,9.146635895,3.043221486,3.831407797,5.774865672,3.741697689,5.72453017,9.787060742,6.663657996,7.408998884,3.384314205,5.858936261,7.883444526,3.901751493,9.805336113,4.155333423,3.453804694,7.317525278,3.304165779,6.211787311,5.26056297,4.182632877,6.490714238,7.364603472,5.258475886,7.158692388,3.637693301,7.092559712,5.792677305,2.927306542,5.90624321,3.791296841,3.397989995,4.404367191,2.963304656,4.148009169,5.852795807,5.137614278,5.083358002,5.241824485,6.342912505,7.254824713,5.515914129,7.061936605,7.199360865,4.62401286,7.665156551,7.098567424,6.03754745,3.532274343,7.484481794,8.109956358,8.103129658,3.750805598,6.924462,5.147373964,4.508667164,3.891660309,6.455240001,6.547341246,4.834131389,9.346943417,3.610616825,5.969038558,6.636653034,6.708893447,4.707428219,6.94007733,3.048229279,4.458392987,8.000064076,5.062956245,6.086702341,4.374260626,7.204704307,6.713424159,6.101440233,3.675552562,10.05902606,8.078380248,6.280124367,3.559367944,7.957576209,7.860287997,3.501732003,9.188365858,7.175114783,7.681996728,4.959554473,5.433682146,7.829526871,9.442465188,5.536682497,8.172293815,11.36308841,5.629856424,6.67305623,3.065298764,6.542627477,7.224801838,6.343228352,5.078709845,4.961200074,4.12593905,8.4749031,4.464988519,6.074379665,6.838506657,3.717145522,5.124409924,7.083775869,5.260726714,7.989169271,6.474155669,3.621330179,5.362879565,4.965600243,4.521531199,4.952806683,5.70956839,6.27827306,2.830439858,6.856341353,7.169739757,10.63419977,3.043221486,7.908865241,6.371421632,3.874582336,9.202910654,7.803225934,4.4116922,6.074014351,6.001451743,5.414813066,7.216348874,7.880751592,5.34889453,8.076441974,6.070845183,3.84704631,6.928529968,7.195673693,6.658929427,3.525785555,7.379856479,7.885160884,6.962590218,5.380184917,5.705582339,6.204738691,3.715886235,7.748921266,4.894252902,8.12434287,8.400889536,3.935104816,6.267004676,7.748633144,4.231485364,6.339352998,5.39697014,7.988067664,5.891845295,6.478823115
"KYSE-180","aero_dig_tract","oesophagus",6.631676681,4.842498709,6.281900765,8.402014296,8.795971283,5.767164052,9.142833789,7.762324314,6.513173683,8.60813348,8.79416725,6.652006781,6.563160809,7.827285516,4.707269676,8.159913745,4.27487834,4.535693173,7.616382601,5.154179056,6.039703465,6.334122759,4.635115138,3.910988741,10.00904396,5.435778444,7.12397596,4.341405065,6.317169134,8.264622079,6.076562807,9.113938246,3.228451789,8.571916006,7.95856804,4.19025344,4.765413833,6.01580958,4.394915085,5.501859765,6.68205263,4.258858882,5.296672821,4.074457336,5.762511747,4.978457216,4.840859189,7.24265166,11.13356605,4.345838999,5.426318288,4.484146734,5.69042187,5.563082499,8.142372622,5.801271589,5.765456137,4.949218415,8.680304209,4.095274072,7.725760293,4.877582854,5.836893196,9.383995224,5.464201403,5.78487603,6.194179412,7.173899085,10.87704773,9.742166351,7.600511368,4.504089716,5.157116724,5.907062917,3.38493589,8.870003027,6.481218951,4.674155688,9.754042045,4.92640901,6.310744584,5.565195444,6.490123541,7.40695146,7.448324352,3.31047133,4.515277795,7.566177529,3.783781718,4.409302812,4.65657812,6.144143155,5.105711584,3.255202909,3.738545793,9.411346641,6.924571349,7.18340494,5.829951579,8.519709292,7.466804117,3.336311077,3.915899512,5.336897649,6.424984522,5.444026544,5.393822637,6.737464862,9.756455694,4.744568914,7.989318179,10.69110836,5.223910467,3.645126492,3.45862034,7.171797239,8.244439797,4.106469851,7.790284237,7.093607988,3.548393548,8.438171023,3.132684888,6.281622557,3.814891383,11.12495202,6.08022652,5.012566947,6.767115952,6.839631201,6.788714895,5.193820085,6.619514927,5.063146275,6.881276864,6.514038727,7.84259959,6.81963397,3.311213155,7.798805545,9.632156903,9.355070734,3.123234114,7.604331798,9.093961451,8.865800117,9.366634466,8.87643178,5.180960947,6.280938889,7.815368386,7.159703565,4.986647238,6.473966435,5.26388724,9.379132285,7.131079637,6.026008694,6.588783934,7.530800249,5.716980817,6.224845012,5.265657434,6.884897928,7.12833002,4.61038903,6.722614686,7.037207721,5.527331237,4.889978368,4.905583961,7.894396572,5.405591808,3.426385359,4.415222828,10.20652778,3.441351619,7.469168502,5.753716208,8.77622184,4.555856588,5.311292305
